ID,Tipo,SKU,Nombre,Publicado,Descripción,"Precio normal",Categorías,Imágenes,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
1892,simple,BH_7M357NE1892_BH001,"TALLARINES AL HUEVO",1,"<ul>\n 	<li>Verdeo $ 4000</li>\n 	<li>4 quesos $ 5000</li>\n 	<li>Hongos de pino a la crema $ 6000</li>\n 	<li>Roja $ 3000</li>\n</ul>",4500,"PLATOS ELABORADOS > PASTAS, PLATOS ELABORADOS",https://bunkerhouse.com.ar/wp-content/uploads/2025/07/tall.webp,,,,
1899,simple,BH_FX3T8BK1899_BH001,"Fernet Branca",1,"Fernet Branca con Coca Cola",4000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/shutterstock_2140552827-scaled-1.webp,,,,
1909,simple,BH_256T1K51909_BH001,"Gin tonic Blu",1,"Gin Blu con tonica",5000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/0BE0zi9W6cgYlgzy9LKf5ML34iASNyVTyvdWjpn5.webp,,,,
1910,simple,BH_5GC3Z7F1910_BH001,"Carpano Originale",1,"Carpano Rosso, Soda y aceituna",4300,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/Carpano-Rosso-001-Mercado.webp,,,,
1911,simple,BH_1DHAR991911_BH001,"Carpano Orange",1,"Carpano Rosso, soda y una rodaja de naranja",4000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/c1-965cf7eab581b2d14215756305806242-1024-1024.webp,,,,
1912,simple,BH_K4OFNE91912_BH001,"Carpano Bianco Tonic",1,"Carpano Bianco, tonica y rodaja de limón",4000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/0c9c52265667bb43f85c5c03485de6a1.webp,,,,
1913,simple,BH_2JWK3VM1913_BH001,"Mint tonic",1,"Branca Menta ricetta italiana con tonica",3500,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/b38824b7e6d848537acde69794d40139.webp,,,,
1914,simple,BH_RRY9JKN1914_BH001,"Sernova Tonic",1,"Vodka Sernova con tónica",4000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/sernova-evolution-tonic.webp,,,,
1915,simple,BH_811N6IZ1915_BH001,"Punt e Mes tonic",1,"Punt e mes, tónica y rodaja de limón",4000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/a07493_f0db0652b203487583579757585696d2_mv2.webp,,,,
1921,variable,BH_6227S141921_BH001,"La Del Pueblo",1,"Milanesas, papas fritas, pan, aderezos",,PICADAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/BULLANGA-5.jpg,Porcion,"1/2 Picada, Completa",1,1
1922,variation,,"La Del Pueblo - Completa",1,,18000,,,Porcion,Completa,,1
1923,simple,BH_5S816P81923_BH001,Tostado,1,"Miga, jamón cocido, tybo\n<div id=""gtx-trans"" style=""position: absolute; left: 359px; top: 45px;"">\n<div class=""gtx-trans-icon""></div>\n</div>",6500,"ENTRE PANES CALIENTES",https://bunkerhouse.com.ar/wp-content/uploads/2025/01/lomito.webp,,,,
1924,simple,BH_P54BXNU_BH0121360-1,"Roquefort y peras (copia)",-1,"Queso, roquefort, peras y nueces",8000,PIZZAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/maxresdefault.webp,,,,
1925,simple,BH_5CTC774_BH0151357-1,Napolitana,1,"Salsa, queso, rodajas de tomate",7000,PIZZAS,https://bunkerhouse.com.ar/wp-content/uploads/2025/09/8metlvp345_portada-pizza.webp,,,,
1927,simple,BH_5CTC774_BH0151357-2,Calabresa,1,"Salsa, queso, cantimpalo\n<div id=""gtx-trans"" style=""position: absolute; left: 375px; top: 45px;"">\n<div class=""gtx-trans-icon""></div>\n</div>",8000,PIZZAS,https://bunkerhouse.com.ar/wp-content/uploads/2025/09/pizza-calabrese-with-salami-mozzarella-rosemary-and-calabrian-chile-paste.webp,,,,
